timestamp,city,lat,lon,temp,feels_like,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_description,aqi,pm2_5,pm10,no2,o3,so2,co,cycle_index
2026-04-25T23:30:49.327951,Casablanca,33.5731,-7.5898,17.89,18.03,88,1014,2.06,40,10,Clear,clear sky,3,8.76,15.59,1.87,102.31,3.43,116.73,0
2026-04-25T23:30:52.557303,Rabat,34.0209,-6.8416,17.37,17.77,100,1013,2.06,340,40,Clouds,scattered clouds,3,9.59,15.19,2.35,100.55,3.27,119.22,0
2026-04-25T23:30:55.811733,Marrakech,31.6295,-7.9811,19.98,19.81,68,1012,4.63,40,75,Clouds,broken clouds,2,5.77,14.95,1.8,79.55,0.59,106.71,0
2026-04-25T23:30:59.033251,Fes,34.0181,-5.0078,14.95,14.96,94,1013,1.54,120,0,Clear,clear sky,2,2.7,4.81,1.41,60.17,0.24,98.77,0
2026-04-25T23:31:02.241601,Tanger,35.7595,-5.834,17.74,17.58,77,1015,9.26,70,20,Clouds,few clouds,2,3.97,8.4,1.73,93.86,1.23,124.46,0
2026-04-25T23:31:05.569939,Agadir,30.4278,-9.5981,17.06,17.07,86,1010,5.81,133,53,Clouds,broken clouds,3,5.44,17.76,0.3,103.89,0.98,115.77,0
2026-04-26T00:31:07.658254,Casablanca,33.5731,-7.5898,17.89,18.03,88,1013,3.09,50,12,Clouds,few clouds,3,9.41,16.85,1.66,101.59,2.8,119.75,1
2026-04-26T00:31:10.859992,Rabat,34.0209,-6.8416,15.37,15.57,100,1013,0.0,0,40,Clouds,scattered clouds,3,8.78,14.56,2.15,100.79,2.94,120.82,1
2026-04-26T00:31:14.207429,Marrakech,31.6295,-7.9811,18.98,18.71,68,1012,3.6,50,75,Clouds,broken clouds,2,5.49,13.73,1.86,73.88,0.51,107.87,1
2026-04-26T00:31:17.447490,Fes,34.0181,-5.0078,12.95,12.91,100,1013,1.03,140,0,Clear,clear sky,1,2.73,4.96,1.43,51.2,0.12,98.5,1
2026-04-26T00:31:20.668949,Tanger,35.7595,-5.834,17.74,17.58,77,1014,9.77,80,20,Clouds,few clouds,2,4.05,8.49,1.94,82.37,0.98,124.86,1
2026-04-26T00:31:23.892541,Agadir,30.4278,-9.5981,17.06,17.01,84,1010,4.86,125,61,Clouds,broken clouds,3,6.07,19.76,0.27,104.38,1.01,114.71,1
2026-04-26T01:31:26.131602,Casablanca,33.5731,-7.5898,17.89,18.03,88,1012,2.06,40,39,Clouds,scattered clouds,3,9.02,16.52,1.51,100.63,2.45,119.95,2
2026-04-26T01:31:29.393095,Rabat,34.0209,-6.8416,14.37,14.47,100,1012,0.0,0,40,Clouds,scattered clouds,2,8.25,13.93,2.01,98.5,2.68,121.2,2
2026-04-26T01:31:33.288123,Marrakech,31.6295,-7.9811,17.98,17.71,72,1011,3.6,50,75,Clouds,broken clouds,2,5.36,13.3,1.75,73.08,0.48,107.21,2
2026-04-26T01:31:37.294732,Fes,34.0181,-5.0078,13.95,14.01,100,1013,1.54,110,0,Clear,clear sky,1,2.78,5.37,1.17,53.87,0.11,98.59,2
2026-04-26T01:31:40.878573,Tanger,35.7595,-5.834,17.74,17.58,77,1014,11.32,80,20,Clouds,few clouds,2,3.99,8.22,1.87,76.41,0.9,124.28,2
2026-04-26T01:31:44.554412,Agadir,30.4278,-9.5981,16.06,15.97,86,1010,3.46,122,0,Clear,clear sky,3,6.38,19.42,0.26,104.82,1.08,113.6,2
